"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1902652","secondary alcohol metabolic process","30/1418","179/25615",0.167597765363128,3.02751534539953,6.58964946483158,5.37722376044938e-08,2.75362740387376e-05,3.56593232338401e-06,"Abca1/Erlin1/Cyp51/Lcat/Sc5d/Idh1/Sqle/Cln8/Cyb5r3/Stard4/Fgf1/Apoc1/Idi1/Srebf1/Hmgcr/Hmgcs1/Pmp22/Cyp3a13/Nsdhl/Ccdc3/Idh2/Gpr146/Pctp/Vldlr/Ldlrap1/Agt/Enpp1/Msmo1/Cln6/Ebp",30
"GO:0031589","cell-substrate adhesion","49/1418","390/25615",0.125641025641026,2.26960146106832,6.11617897331307,7.71369456657225e-08,3.62093679112512e-05,4.68909320347373e-06,"Sfrp1/Crk/Emp2/Ttyh1/Gpm6b/Whamm/Megf11/Stk4/Triobp/Dusp3/Parvb/Clasp2/Apod/Fer/Jam3/Ston1/Spry4/Src/Zyx/Nid1/S100a10/Ccl28/Itgb1/Ptprk/Col5a3/Vwf/Mdk/Itga3/Spock3/Actg1/Mmp14/Abi3bp/Smoc1/Hacd1/Fermt2/Efna5/Agt/Prex1/Acer2/Tmem8b/Svep1/Sdc4/Radil/Coro2b/Grem1/Bcl6/Marcks/Ptn/Ccdc80",49
"GO:0048545","response to steroid hormone","46/1418","364/25615",0.126373626373626,2.28283528882965,5.96730663290688,1.61344238765751e-07,6.99116997667287e-05,9.05352661838652e-06,"Pck2/Acr/Sfrp1/Cry1/Lcat/Dnaja1/Cav1/Ptpru/Bdnf/Fosl2/Idh1/Bche/Tfap4/Vps11/Wbp2/Fos/Mbp/Ucp2/Car2/Sox10/S100b/Srebf1/Etnppl/Atp1a1/Jund/Dusp1/Src/Cldn1/Padi2/Taf7/Hspa8/Fosb/Esrrb/Bmp6/Abca2/Sgk1/Tgfb3/Mdk/Ddit4/Kank2/Aqp1/Smyd3/Prkn/Zfp36l2/Fkbp4/Foxo1",46
"GO:0071560","cellular response to transforming growth factor beta stimulus","39/1418","285/25615",0.136842105263158,2.47193972236657,6.04910212177787,1.77290597012536e-07,7.1334138069401e-05,9.2377315952248e-06,"Sfrp1/Crk/Zfp451/Tgfbr3/Cav1/Aspn/Skil/Hpgd/Sox6/Adam17/Fos/Creb1/Spred2/Vasn/Tsc22d1/Wfikkn2/Tab1/Appl1/Ryr1/Cdh3/Atf3/Src/Cldn1/Zyx/Hspa1a/Usp9x/Ptprk/Zeb2/Tgfb3/Ing2/Itga3/Furin/Yes1/Ogt/Fermt2/Zfp36l2/Nrros/Smad9/Pals1",39
"GO:0007611","learning or memory","46/1418","367/25615",0.125340599455041,2.26417450990188,5.90503704313444,2.05347255232527e-07,7.46644607547488e-05,9.66900654891949e-06,"Lmx1a/Slitrk4/Ppp1r1b/Cck/Nr4a2/Deaf1/Bdnf/Gatm/Csmd1/Bche/Dbi/Cln8/Prkar2b/Paip2/Mapk8ip2/Fos/Cpeb3/Creb1/Itpr3/Kat2b/Synpo/Homer1/Syt4/Slc2a4/Rcan2/S100b/Ehmt2/Cacna1e/Hmgcr/Gmfb/Rin1/Uba6/Itgb1/Sgk1/Tuba1a/Mdk/Itga3/Elavl4/Nlgn3/Camk2n1/Grm7/Agt/Nfix/Prkn/Thra/Ptn",46
"GO:0050890","cognition","50/1418","415/25615",0.120481927710843,2.17640661376111,5.8489416822564,2.12077289557249e-07,7.46644607547488e-05,9.66900654891949e-06,"Lmx1a/Slitrk4/Gpr155/Ppp1r1b/Cck/Nr4a2/Deaf1/Bdnf/Gatm/Csmd1/Bche/Dbi/Cln8/Prkar2b/Paip2/Mapk8ip2/Fos/Cpeb3/Creb1/Itpr3/Kat2b/Synpo/Homer1/Syt4/Slc2a4/Rcan2/S100b/Ehmt2/Cacna1e/Hmgcr/Gmfb/Rin1/Uba6/Itgb1/Chd7/Sgk1/Tuba1a/Mdk/Itga3/Elavl4/Nlgn3/Camk2n1/Grm7/Agt/Nfix/Adora1/Prkn/Ptchd1/Thra/Ptn",50
"GO:0034599","cellular response to oxidative stress","37/1418","272/25615",0.136029411764706,2.45725908487513,5.84908950950252,4.21969950500739e-07,0.000139820984186509,1.81067404506734e-05,"Pnpla8/Pdk2/Pcgf2/Nr4a2/Mapk13/Fos/Kat2b/Mapk8/Naglu/Cygb/Gpx3/Prr5l/Slc25a24/Ngfr/Snca/Txn1/Fer/Src/Fbln5/Hspa8/Cyp1b1/Etv5/Ptprk/Top2b/Pink1/Mt3/Aqp1/Sirt2/Nqo1/Prkn/Prdx2/Eif2s1/Foxo1/Atf4/Prdx1/Cbx8/Gpr37",37
"GO:0006979","response to oxidative stress","52/1418","451/25615",0.11529933481153,2.08278734922238,5.61613658704868,4.85677936228561e-07,0.000151990211931971,1.96826487419374e-05,"Pnpla8/Crk/Pdk2/Capn2/Pcgf2/Nr4a2/Mapk13/Gab1/Idh1/Pxdn/Fos/Cd2ap/Kat2b/Mapk8/Ucp2/Naglu/Cygb/Gpx3/Rcan2/Prr5l/Slc25a24/Nr4a3/Ngfr/Snca/Txn1/Apod/Fer/Dusp1/Src/Fbln5/Hspa8/Cyp1b1/Coa8/Xpa/Etv5/Ptprk/Top2b/Pink1/Plk3/Mmp14/Mt3/Aqp1/Sirt2/Nqo1/Prkn/Prdx2/Eif2s1/Foxo1/Atf4/Prdx1/Cbx8/Gpr37",52
"GO:0022604","regulation of cell morphogenesis","38/1418","286/25615",0.132867132867133,2.40013512580508,5.76421274613201,5.39509603021286e-07,0.000159950399674679,2.07134886708252e-05,"Sparc/Crk/Cdc42ep2/Phip/Itpka/Plxnb3/Caprin1/Septin7/Sema4d/Prag1/Syt2/Syt4/Dnm1l/Lpar1/Parvb/S100b/Src/Plxnd1/Syt3/Eef2k/Fmnl1/Il1rapl1/Sgk1/Spag9/Ezr/Cdc42ep4/Larp4/Fermt2/Efna5/Cdc42se1/Fgd4/Prkn/Epb41l2/Ptprd/Brwd1/Marcks/Ptn/Myo9a",38
"GO:0032288","myelin assembly","10/1418","27/25615",0.37037037037037,6.69043514600637,7.16152058967007,9.28114028410197e-07,0.000250260800761668,3.24086358763195e-05,"Mag/Mbp/Ncmap/Pmp22/Tppp/Gpc1/Abca2/Pllp/Cntn1/Pals1",10
