Geneid	SRR5364316	SRR5364317	SRR5364318	SRR5364321	SRR5364323	SRR5364330
ENSMUSG00000000711	5758	5014	5172	5417	5909	6728
ENSMUSG00000000724	0	1	0	1	2	0
ENSMUSG00000000730	1	2	2	4	3	0
ENSMUSG00000000731	0	4	1	15	2	24
ENSMUSG00000000732	449	391	447	845	554	986
ENSMUSG00000000738	2050	2049	2074	2475	2191	2779
ENSMUSG00000000739	9	9	4	12	5	10
ENSMUSG00000000740	5551	5322	6337	5090	5700	6920
ENSMUSG00000000743	1866	1851	2018	1753	1903	2220
ENSMUSG00000000751	3378	3080	3150	3234	3375	4070
ENSMUSG00000000753	450	411	448	354	475	454
ENSMUSG00000000759	1852	1855	2113	1880	2107	2072
ENSMUSG00000000766	27	15	25	17	9	23
ENSMUSG00000000776	583	576	631	570	617	651
ENSMUSG00000000782	117	114	99	101	100	130
ENSMUSG00000000787	24323	23076	26117	23636	22864	28237
ENSMUSG00000000791	82	64	49	206	77	249
ENSMUSG00000000792	137	140	267	267	191	385
ENSMUSG00000000794	489	431	444	417	431	564
ENSMUSG00000000804	5146	4833	4937	4698	5276	5619
ENSMUSG00000000805	5569	5430	5261	3369	5655	3313
ENSMUSG00000000811	173	155	192	253	206	315
ENSMUSG00000000817	2	12	8	5	4	6
ENSMUSG00000000823	1432	1331	1510	2319	1790	2383
ENSMUSG00000000826	14519	13330	13336	14326	14593	17002
ENSMUSG00000000827	2306	2279	2509	2070	2383	2405
ENSMUSG00000000838	4994	4488	4251	4345	4578	4986
ENSMUSG00000000861	516	507	533	490	496	578
ENSMUSG00000000869	6	1	3	6	4	7
ENSMUSG00000000876	467	408	369	335	452	391
ENSMUSG00000000881	3748	3360	3439	3545	3730	4099
ENSMUSG00000000884	61	74	92	106	93	134
ENSMUSG00000000889	29	59	164	21	98	286
ENSMUSG00000000901	32	22	44	66	71	69
ENSMUSG00000000902	1542	1560	1483	1772	1643	1926
ENSMUSG00000000903	1	0	2	3	1	1
ENSMUSG00000000915	2411	2315	2554	2691	2556	3165
ENSMUSG00000000916	426	421	481	482	502	490
ENSMUSG00000000934	326	295	293	261	328	304
ENSMUSG00000000938	0	0	0	0	0	0
ENSMUSG00000000942	0	6	10	2	22	0
ENSMUSG00000000948	785	685	483	567	455	467
ENSMUSG00000000957	474	450	549	759	749	988
ENSMUSG00000000958	23	16	26	19	18	16
ENSMUSG00000000959	1898	1699	1761	1762	1816	2160
ENSMUSG00000000976	1162	1026	1020	1184	1217	1296
ENSMUSG00000000982	1	1	1	0	4	0
ENSMUSG00000000983	13	16	13	2	3	2
ENSMUSG00000001014	0	0	0	0	0	0
ENSMUSG00000001016	1686	1589	1586	1665	1658	1916
ENSMUSG00000001017	6051	5767	5537	4996	5858	6052
ENSMUSG00000001018	1960	1951	2138	2097	2070	2344
ENSMUSG00000001020	0	3	1	2	3	2
ENSMUSG00000001021	1	2	3	1	4	1
ENSMUSG00000001023	6	3	1	3	0	4
ENSMUSG00000001025	313	288	274	210	242	366
ENSMUSG00000001027	0	1	1	0	1	6
ENSMUSG00000001029	69	56	88	53	67	85
ENSMUSG00000001034	909	992	979	1101	1119	1172
ENSMUSG00000001036	6049	5750	5826	6056	6211	6742
ENSMUSG00000001039	637	549	683	441	565	516
ENSMUSG00000001052	2697	2445	2554	2951	2876	3076
ENSMUSG00000001053	489	405	447	453	468	529
ENSMUSG00000001054	935	863	784	775	836	972
ENSMUSG00000001056	450	441	517	389	469	571
ENSMUSG00000001062	937	1126	1188	1151	1140	1281
ENSMUSG00000001065	609	615	607	469	574	523
ENSMUSG00000001076	12	1	69	5	17	35
ENSMUSG00000001082	524	501	655	648	647	727
ENSMUSG00000001089	6867	6133	6653	5809	6294	6175
ENSMUSG00000001095	0	0	0	0	0	1
ENSMUSG00000001098	839	752	850	706	727	853
ENSMUSG00000001100	3410	3274	3390	3393	3432	4445
ENSMUSG00000001103	296	274	214	260	292	244
ENSMUSG00000001105	1146	1129	1394	1034	1148	1162
ENSMUSG00000001119	508	415	412	544	418	761
ENSMUSG00000001120	2103	1878	2023	2228	2334	2904
ENSMUSG00000001123	121	151	184	107	175	156
ENSMUSG00000001127	6608	6542	7698	7071	7376	8622
ENSMUSG00000001128	587	613	578	443	721	356
ENSMUSG00000001131	41	44	29	36	30	41
ENSMUSG00000001134	170	143	149	126	183	126
ENSMUSG00000001138	1780	1646	1837	2730	2009	2912
ENSMUSG00000001143	2076	1943	1650	1332	2065	1505
ENSMUSG00000001150	2183	2020	2152	2358	2156	2574
ENSMUSG00000001151	2088	1923	1924	2878	2235	3118
ENSMUSG00000001155	0	3	2	1	0	0
ENSMUSG00000001156	1653	1376	1267	1238	1272	1520
ENSMUSG00000001157	1645	1529	1559	1544	1590	1734
ENSMUSG00000001158	1358	1265	1231	1157	1403	1469
ENSMUSG00000001166	19	14	22	31	33	49
ENSMUSG00000001168	0	0	0	1	0	0
ENSMUSG00000001173	3287	3021	3100	3791	3372	4304
ENSMUSG00000001175	77769	75333	81570	67230	76539	82583
ENSMUSG00000001211	11532	11035	10528	12445	11436	14338
ENSMUSG00000001225	8	6	9	14	9	16
ENSMUSG00000001227	1541	1545	1695	1749	1670	1929
ENSMUSG00000001228	36	29	20	17	19	26
ENSMUSG00000001229	2401	2240	2270	2097	2466	2244
ENSMUSG00000001240	725	707	555	732	707	1090
ENSMUSG00000001247	119	123	140	122	158	138
ENSMUSG00000001248	3235	3270	3910	2881	3403	3081
ENSMUSG00000001249	63	76	86	79	92	88
ENSMUSG00000001260	1156	1078	1551	911	1142	1420
ENSMUSG00000001270	40395	38301	41798	45842	43137	56137
ENSMUSG00000001280	2531	2362	2444	2358	2387	2485
ENSMUSG00000001281	128	121	126	111	144	176
ENSMUSG00000001285	694	643	763	528	742	788
ENSMUSG00000001288	334	290	364	453	382	469
ENSMUSG00000001289	2708	2562	3357	2587	2751	3486
ENSMUSG00000001300	1073	985	1031	882	966	1037
ENSMUSG00000001305	341	261	300	295	308	410
ENSMUSG00000001313	2783	2479	2744	2735	2644	3702
ENSMUSG00000001323	2366	2249	2147	1380	2067	1624
ENSMUSG00000001333	6	7	10	7	7	10
ENSMUSG00000001334	5054	4788	4728	4796	5444	5600
ENSMUSG00000001348	8	6	7	3	7	16
ENSMUSG00000001349	6	6	8	10	12	10
ENSMUSG00000001366	3675	3530	4176	3741	3916	4609
ENSMUSG00000001376	2719	2661	3009	2871	2804	3344
ENSMUSG00000001380	2143	1933	2293	1905	2092	2675
ENSMUSG00000001383	3698	3436	3944	3395	4018	4189
ENSMUSG00000001403	3	6	8	4	3	4
ENSMUSG00000001415	2703	2609	2846	3249	3017	3607
ENSMUSG00000001416	4249	4001	4520	3445	4214	4579
ENSMUSG00000001418	1409	1320	1342	1029	1379	1286
ENSMUSG00000001419	7869	7472	7129	7185	7382	8373
ENSMUSG00000001420	53	48	68	65	81	116
ENSMUSG00000001424	2175	1905	2093	2170	2203	2826
ENSMUSG00000001435	2411	2384	2518	2512	2568	2429
ENSMUSG00000001436	642	591	718	768	725	950
ENSMUSG00000001440	6704	5766	5480	6221	6484	7226
ENSMUSG00000001441	7465	7142	7362	7185	8209	7766
ENSMUSG00000001444	0	0	1	2	1	1
ENSMUSG00000001445	487	486	448	493	568	647
ENSMUSG00000001467	2662	2678	2612	1172	1818	1819
ENSMUSG00000001472	17664	16867	19256	18533	18403	21997
ENSMUSG00000001473	61	69	89	77	89	96
ENSMUSG00000001482	3125	2911	2757	3430	3447	3855
ENSMUSG00000001493	19	27	44	19	36	36
ENSMUSG00000001494	42	32	31	13	42	21
ENSMUSG00000001496	0	0	0	0	0	0
ENSMUSG00000001497	3	2	0	3	5	1
ENSMUSG00000001504	326	327	474	414	346	452
ENSMUSG00000001506	657	497	359	423	493	518
ENSMUSG00000001507	1938	1900	1954	2337	2335	2711
ENSMUSG00000001508	29	17	16	21	20	26
ENSMUSG00000001510	22	12	17	18	13	16
